epoch,train_loss,train_accuracy,valid_accuracy,learning_rate
1,1.9000404213841129,0.2348111658456486,0.17857142857142858,0.0019975640502598244
2,1.8019646639111397,0.2988505747126437,0.17857142857142858,0.0019902680687415705
3,1.754454956853331,0.32019704433497537,0.30357142857142855,0.001978147600733806
4,1.7039837966411573,0.3399014778325123,0.2857142857142857,0.0019612616959383193
5,1.6597863185190411,0.3694581280788177,0.375,0.0019396926207859088
6,1.59593086328804,0.4154351395730706,0.35714285714285715,0.0019135454576426011
7,1.52638575459153,0.41707717569786534,0.39285714285714285,0.0018829475928589274
8,1.552108499412662,0.42036124794745483,0.4642857142857143,0.001848048096156426
9,1.5196763423863302,0.43349753694581283,0.42857142857142855,0.0018090169943749477
10,1.4890919882675697,0.45320197044334976,0.5178571428571429,0.0017660444431189782
11,1.4825212454365195,0.42857142857142855,0.35714285714285715,0.0017193398003386513
12,1.4416926069604157,0.4663382594417077,0.5714285714285714,0.0016691306063588583
13,1.3447357267386024,0.5221674876847291,0.5714285714285714,0.0016156614753256584
14,1.3379298669755557,0.5336617405582923,0.5178571428571429,0.001559192903470747
15,1.3174017383938743,0.5517241379310345,0.4642857142857143,0.0015000000000000002
16,1.3595880176046211,0.49917898193760263,0.5535714285714286,0.0014383711467890778
17,1.3111769759596275,0.5385878489326765,0.5535714285714286,0.0013746065934159123
18,1.2457161020175578,0.5796387520525451,0.4642857142857143,0.001309016994374948
19,1.2297833615727416,0.5993431855500821,0.5714285714285714,0.0012419218955996682
20,1.2092646976997112,0.5697865353037767,0.6071428571428571,0.0011736481776669309
21,1.1883929548983896,0.5894909688013136,0.5892857142857143,0.0011045284632676539
22,1.1505573745235824,0.6124794745484401,0.5,0.0010348994967025015
23,1.0857580864957987,0.6272577996715928,0.6428571428571429,0.0009651005032974997
24,1.0922098210683988,0.6338259441707718,0.6607142857142857,0.000895471536732347
25,1.0070134205575452,0.6617405582922824,0.5892857142857143,0.00082635182233307
26,1.0769943505868145,0.6518883415435139,0.6428571428571429,0.0007580781044003325
27,0.9509787431295673,0.715927750410509,0.7142857142857143,0.000690983005625053
28,0.9180340232520268,0.7372742200328407,0.6964285714285714,0.0006253934065840882
29,0.9848363884955595,0.7027914614121511,0.6428571428571429,0.0005616288532109227
30,0.8993641966082192,0.7438423645320197,0.7142857142857143,0.0005000000000000004
31,0.8470214517245739,0.7536945812807881,0.7678571428571429,0.0004408070965292535
32,0.7837713260955999,0.7799671592775042,0.7142857142857143,0.00038433852467434186
33,0.7931633943994644,0.7733990147783252,0.7321428571428571,0.0003308693936411419
34,0.8255291571366572,0.7635467980295566,0.8035714285714286,0.00028066019966134883
35,0.7695839444209006,0.7931034482758621,0.7857142857142857,0.00023395555688102222
36,0.7895604117554789,0.8013136288998358,0.7678571428571429,0.00019098300562505276
37,0.7027447642559684,0.8325123152709359,0.7678571428571429,0.00015195190384357412
38,0.6957213793482099,0.8341543513957307,0.8035714285714286,0.0001170524071410733
39,0.6936130095976718,0.8341543513957307,0.7678571428571429,8.64545423573993e-05
40,0.7218085136906854,0.8078817733990148,0.7678571428571429,6.030737921409172e-05
41,0.6332830423596262,0.8719211822660099,0.8035714285714286,3.873830406168135e-05
42,0.6789713593930838,0.8472906403940886,0.7678571428571429,2.1852399266194325e-05
43,0.6764426770664397,0.8587848932676518,0.8035714285714286,9.731931258429754e-06
44,0.6500411677634579,0.8505747126436781,0.8035714285714286,2.4359497401758037e-06
45,0.6683176278285009,0.8423645320197044,0.7857142857142857,0.0
