epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2096.22,0.77644,0.53667,0.01567,0.83207,0.84455,0.88261,0.72574,0.7106,0.33767,0.01588,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2171.9,0.7762,0.51183,0.01571,0.87188,0.80385,0.89049,0.72638,0.70079,0.34656,0.01541,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2234.3,0.75819,0.51038,0.0153,0.8127,0.84984,0.89955,0.7366,0.70536,0.32144,0.01592,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2298.99,0.75999,0.50342,0.01517,0.81206,0.85375,0.89591,0.71907,0.71997,0.33499,0.01648,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2367.99,0.76579,0.50193,0.01522,0.88509,0.79287,0.88803,0.72546,0.71243,0.32178,0.01615,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2431.57,0.75973,0.48771,0.01547,0.82737,0.86541,0.90932,0.74383,0.69089,0.31836,0.01532,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2501.32,0.73631,0.46735,0.01462,0.92019,0.81041,0.89846,0.74356,0.66488,0.31493,0.01468,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2564.32,0.73479,0.47531,0.01485,0.89662,0.8427,0.89828,0.73697,0.67389,0.30238,0.01498,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2627.56,0.7496,0.4725,0.01494,0.85835,0.83873,0.91501,0.75182,0.66753,0.31721,0.01469,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2694.09,0.74138,0.46718,0.01504,0.84811,0.83483,0.89111,0.72454,0.68945,0.32943,0.01543,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2756.96,0.72785,0.4725,0.01451,0.8735,0.81638,0.89334,0.7213,0.67696,0.3137,0.01508,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2822.95,0.73613,0.46631,0.01481,0.87078,0.83118,0.90253,0.74801,0.67503,0.34252,0.01529,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2890.65,0.71659,0.45837,0.0143,0.86924,0.8544,0.90731,0.73992,0.68894,0.2998,0.01525,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2958.56,0.72907,0.45389,0.01448,0.92027,0.83338,0.90806,0.74252,0.66956,0.29437,0.01464,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3020.91,0.7232,0.43939,0.01436,0.91255,0.8178,0.90213,0.74556,0.65361,0.29717,0.01417,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3083.72,0.71639,0.44218,0.01428,0.87339,0.87886,0.9159,0.75874,0.68332,0.30455,0.01542,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
