epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,901.01,0.78721,0.65855,0.01588,0.80302,0.79307,0.83711,0.66225,0.73867,0.45217,0.01578,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,928.417,0.79235,0.64148,0.01598,0.86439,0.7764,0.8464,0.67807,0.73659,0.42653,0.01658,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,956.318,0.77718,0.61979,0.01566,0.82598,0.79099,0.85275,0.66699,0.73562,0.42917,0.01592,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,983.579,0.77504,0.62473,0.01549,0.89058,0.81285,0.87519,0.69666,0.75512,0.39068,0.01682,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1011.22,0.78307,0.63058,0.01559,0.87421,0.81002,0.87001,0.69692,0.7271,0.40449,0.01608,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,1039.81,0.77144,0.60896,0.01572,0.89616,0.81137,0.85834,0.68853,0.70689,0.38802,0.01549,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,1066.79,0.75644,0.60121,0.01503,0.88637,0.79095,0.87365,0.69388,0.73923,0.40628,0.01635,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,1093.35,0.74818,0.58154,0.01513,0.88756,0.80959,0.87482,0.67616,0.73273,0.38605,0.01557,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,1122.36,0.76463,0.60165,0.01518,0.88379,0.7843,0.88113,0.70815,0.69486,0.38908,0.01499,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,1150.96,0.75452,0.5717,0.01526,0.87472,0.79875,0.86554,0.67897,0.74181,0.39905,0.01622,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,1177.93,0.74509,0.57422,0.01478,0.92299,0.79602,0.88807,0.70318,0.72109,0.38084,0.01567,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
